V;V_a;n;V_T;;;rho;;;sigma;percentage;e_rho;e_rho_practica
10,0;7,0;93;9,7;0,9705570818;0,971;0,9864415397;986,4415397;0,000252316;0,005542261984;0,5618439372;0,01282374002;5,542261984
10,0;8,0;59;9,7;0,9716437401;0,972;;;0,0002189748719;;;;
10,0;8,6;39;9,7;0,9734594214;0,973;;;0,000168535394;;;;
10,0;9,0;35;10,0;1,001822558;1,002;;;0,0002365757154;;;;
10,0;9,0;44;10,3;1,028005501;1,028;;;0,00172756289;;;;
10,0;9,0;32;9,9;0,9930949099;0,993;;;0,00004426733531;;;;
10,0;9,0;29;9,8;0,9843672621;0,984;;;0,000004302627478;;;;
10,0;9,0;28;9,8;0,9814580461;0,981;;;0,0000248352076;;;;
10,0;9,0;27;9,8;0,9785488302;0,979;;;0,00006229486242;;;;
10,0;9,0;28;9,8;0,9814580461;0,981;;;0,0000248352076;;;;
